Time,Position,Velocity,Acceleration
0.000,2.00,,
0.050,2.01,0.11,
0.100,2.01,0.10,-0.20
0.150,2.02,0.09,0.41
0.200,2.02,0.13,0.80
0.250,2.03,0.20,0.67
0.300,2.04,0.23,0.09
0.350,2.06,0.20,-0.34
0.400,2.06,0.16,-0.24
0.450,2.07,0.16,-0.02
0.500,2.08,0.19,-0.16
0.550,2.09,0.17,-0.60
0.600,2.10,0.11,-0.80
0.650,2.10,0.06,-0.48
0.700,2.10,0.06,-0.16
0.750,2.10,0.08,-0.29
0.800,2.11,0.05,-0.84
0.850,2.11,-0.02,-1.23
0.900,2.11,-0.10,-1.04
0.950,2.10,-0.14,-0.36
1.000,2.09,-0.14,0.31
1.050,2.08,-0.09,0.31
1.100,2.08,-0.07,-0.26
1.150,2.08,-0.12,-0.75
1.200,2.07,-0.18,-0.72
1.250,2.06,-0.20,-0.23
1.300,2.06,-0.20,0.32
1.350,2.04,-0.17,0.64
1.400,2.03,-0.11,0.39
1.450,2.03,-0.10,-0.07
1.500,2.03,-0.15,-0.09
1.550,2.01,-0.15,0.35
1.600,2.00,-0.09,0.77
1.650,2.01,-0.06,0.91
1.700,2.00,-0.01,1.08
1.750,2.00,0.05,1.11
1.800,2.01,0.13,0.74
1.850,2.01,0.13,0.30
1.900,2.02,0.12,0.21
1.950,2.03,0.15,0.44
2.000,2.03,0.18,0.39
2.050,2.05,0.21,-0.07
2.100,2.05,0.18,-0.40
2.150,2.07,0.13,-0.40
2.200,2.07,0.14,-0.12
2.250,2.08,0.13,0.00
2.300,2.09,0.14,-0.11
2.350,2.09,0.12,-0.28
2.400,2.10,0.11,-0.46
2.450,2.10,0.08,-0.48
2.500,2.11,0.05,-0.55
2.550,2.10,0.04,-0.74
2.600,2.11,-0.02,-0.94
2.650,2.11,-0.08,-0.72
2.700,2.10,-0.12,-0.12
2.750,2.09,-0.08,0.09
2.800,2.09,-0.05,-0.42
2.850,2.09,-0.11,-1.05
2.900,2.08,-0.20,-0.97
2.950,2.06,-0.24,-0.30
3.000,2.06,-0.22,0.22
3.050,2.05,-0.19,0.39
3.100,2.04,-0.19,0.51
3.150,2.03,-0.15,0.66
3.200,2.02,-0.10,0.61
3.250,2.02,-0.08,0.44
3.300,2.01,-0.08,0.58
3.350,2.01,-0.04,0.87
3.400,2.00,0.04,0.86
3.450,2.01,0.07,0.46
3.500,2.02,0.07,0.14
3.550,2.01,0.06,0.08
3.600,2.03,0.08,0.04
3.650,2.03,0.08,0.17
3.700,2.03,0.07,0.50
3.750,2.03,0.13,0.94
3.800,2.04,0.18,0.95
3.850,2.05,0.24,0.32
3.900,2.06,0.24,-0.53
3.950,2.08,0.17,-1.11
4.000,2.08,0.09,-0.92
4.050,2.08,0.05,-0.27
4.100,2.09,0.08,0.21
4.150,2.09,0.10,0.19
4.200,2.10,0.10,-0.19
4.250,2.11,0.08,-0.58
4.300,2.11,0.04,-0.95
4.350,2.11,-0.01,-1.16
4.400,2.11,-0.09,-0.91
4.450,2.10,-0.13,-0.24
4.500,2.09,-0.11,0.23
4.550,2.09,-0.06,-0.04
4.600,2.09,-0.09,-0.68
4.650,2.08,-0.16,-0.94
4.700,2.07,-0.21,-0.48
4.750,2.06,-0.22,0.23
4.800,2.05,-0.17,0.70
4.850,2.04,-0.13,0.57
4.900,2.04,-0.09,0.02
4.950,2.03,-0.13,-0.21
5.000,2.03,-0.17,0.05
5.050,2.01,-0.12,0.48
5.100,2.01,-0.09,0.59
5.150,2.01,-0.07,0.71
5.200,2.00,-0.04,1.24
5.250,2.00,0.05,1.59
5.300,2.01,0.17,1.26
5.350,2.02,0.20,0.35
5.400,2.03,0.18,-0.30
5.450,2.04,0.14,-0.19
5.500,2.04,0.14,0.19
5.550,2.05,0.19,0.23
5.600,2.06,0.19,-0.12
5.650,2.07,0.15,-0.27
5.700,2.07,0.14,-0.03
5.750,2.08,0.16,0.06
5.800,2.09,0.17,-0.27
5.850,2.10,0.13,-0.60
5.900,2.10,0.08,-0.61
5.950,2.11,0.07,-0.50
6.000,2.11,0.05,-0.51
6.050,2.12,0.02,-0.58
6.100,2.11,-0.01,-0.56
6.150,2.11,-0.04,-0.55
6.200,2.11,-0.06,-0.58
6.250,2.11,-0.10,-0.55
6.300,2.10,-0.12,-0.52
6.350,2.09,-0.14,-0.50
6.400,2.09,-0.18,-0.43
6.450,2.08,-0.20,-0.18
6.500,2.06,-0.20,0.16
6.550,2.06,-0.18,0.36
6.600,2.05,-0.15,0.40
6.650,2.04,-0.14,0.32
6.700,2.03,-0.12,0.23
6.750,2.03,-0.11,0.24
6.800,2.02,-0.10,0.36
6.850,2.02,-0.08,0.49
6.900,2.01,-0.04,0.51
6.950,2.02,-0.03,0.61
7.000,2.01,0.00,0.78
7.050,2.01,0.06,0.85
7.100,2.02,0.10,0.66
7.150,2.03,0.13,0.40
7.200,2.03,0.13,0.37
7.250,2.04,0.15,0.37
7.300,2.05,0.19,0.26
7.350,2.05,0.18,0.02
7.400,2.07,0.18,-0.09
7.450,2.07,0.17,0.07
7.500,2.08,0.18,0.13
7.550,2.09,0.20,-0.13
7.600,2.10,0.18,-0.64
7.650,2.11,0.12,-1.01
7.700,2.12,0.06,-1.02
7.750,2.12,0.02,-0.83
7.800,2.12,-0.02,-0.64
7.850,2.12,-0.04,-0.51
7.900,2.11,-0.07,-0.53
7.950,2.11,-0.08,-0.63
8.000,2.10,-0.14,-0.50
8.050,2.10,-0.17,-0.05
8.100,2.08,-0.14,0.34
8.150,2.08,-0.10,0.00
8.200,2.08,-0.11,-0.66
8.250,2.07,-0.20,-0.80
8.300,2.06,-0.24,-0.21
8.350,2.04,-0.21,0.52
8.400,2.04,-0.16,0.81
8.450,2.03,-0.12,0.79
8.500,2.02,-0.08,0.72
8.550,2.02,-0.05,0.55
8.600,2.02,-0.01,0.31
8.650,2.02,-0.02,0.16
8.700,2.02,-0.02,0.32
8.750,2.02,0.01,0.69
8.800,2.02,0.06,0.88
8.850,2.02,0.11,0.73
8.900,2.03,0.14,0.43
8.950,2.04,0.14,0.29
9.000,2.04,0.16,0.26
9.050,2.05,0.18,0.12
9.100,2.06,0.18,-0.15
9.150,2.07,0.16,-0.26
9.200,2.08,0.14,-0.12
9.250,2.09,0.14,-0.01
9.300,2.09,0.15,-0.09
9.350,2.10,0.14,-0.32
9.400,2.11,0.12,-0.49
9.450,2.11,0.09,-0.61
9.500,2.12,0.06,-0.75
9.550,2.12,0.01,-0.83
9.600,2.12,-0.04,-0.76
9.650,2.11,-0.07,-0.60
9.700,2.11,-0.09,-0.48
9.750,2.11,-0.11,-0.39
9.800,2.10,-0.13,-0.28
9.850,2.09,-0.14,-0.18
9.900,2.09,-0.14,-0.25
9.950,2.08,-0.16,-0.46
10.000,2.07,-0.19,-0.47
10.050,2.06,-0.23,0.00
10.100,2.05,-0.21,0.95
10.150,2.03,-0.14,
10.200,2.04,0.00,
10.250,2.03,,
