Time,Position,Velocity,Acceleration
0.000,2.00,,
0.050,2.00,0.13,
0.100,2.02,0.18,0.72
0.150,2.03,0.20,0.53
0.200,2.03,0.22,0.37
0.250,2.05,0.24,0.16
0.300,2.06,0.25,0.02
0.350,2.07,0.23,-0.06
0.400,2.08,0.24,-0.19
0.450,2.10,0.23,-0.47
0.500,2.11,0.19,-0.86
0.550,2.12,0.14,-1.15
0.600,2.12,0.07,-1.31
0.650,2.12,0.00,-1.39
0.700,2.12,-0.06,-1.32
0.750,2.12,-0.14,-0.99
0.800,2.11,-0.18,-0.40
0.850,2.09,-0.18,-0.20
0.900,2.09,-0.15,-0.66
0.950,2.09,-0.24,-1.08
1.000,2.07,-0.32,-0.46
1.050,2.04,-0.32,0.75
1.100,2.04,-0.20,1.08
1.150,2.02,-0.14,0.65
1.200,2.03,-0.19,0.40
1.250,2.01,-0.14,0.97
1.300,2.00,-0.07,1.53
1.350,2.01,0.04,1.40
1.400,2.00,0.09,1.01
1.450,2.02,0.11,0.67
1.500,2.02,0.16,0.71
1.550,2.02,0.18,0.78
1.600,2.04,0.24,0.53
1.650,2.05,0.26,0.08
1.700,2.07,0.23,-0.40
1.750,2.08,0.21,-0.68
1.800,2.08,0.17,-0.83
1.850,2.10,0.12,-0.85
1.900,2.10,0.07,-0.51
1.950,2.10,0.06,-0.10
2.000,2.10,0.08,-0.07
2.050,2.11,0.08,-0.65
2.100,2.11,0.02,-1.29
2.150,2.12,-0.08,-1.30
2.200,2.10,-0.14,-0.76
2.250,2.09,-0.14,-0.39
2.300,2.09,-0.14,-0.46
2.350,2.08,-0.19,-0.52
2.400,2.07,-0.23,-0.21
2.450,2.06,-0.21,0.24
2.500,2.05,-0.19,0.47
2.550,2.04,-0.16,0.51
2.600,2.03,-0.14,0.52
2.650,2.03,-0.11,0.61
2.700,2.02,-0.08,0.76
2.750,2.02,-0.03,0.93
2.800,2.02,0.01,1.04
2.850,2.02,0.07,1.11
2.900,2.02,0.13,1.11
2.950,2.03,0.19,0.82
3.000,2.04,0.23,0.32
3.050,2.06,0.21,-0.13
3.100,2.07,0.20,-0.33
3.150,2.07,0.18,-0.38
3.200,2.09,0.16,-0.45
3.250,2.09,0.13,-0.46
3.300,2.10,0.11,-0.41
3.350,2.10,0.09,-0.49
3.400,2.11,0.08,-0.82
3.450,2.11,0.02,-1.20
3.500,2.11,-0.06,-1.31
3.550,2.10,-0.12,-0.99
3.600,2.09,-0.17,-0.47
3.650,2.09,-0.17,-0.13
3.700,2.08,-0.16,-0.06
3.750,2.07,-0.18,-0.13
3.800,2.07,-0.18,-0.07
3.850,2.05,-0.19,0.07
3.900,2.05,-0.17,0.08
3.950,2.04,-0.17,0.23
4.000,2.03,-0.18,0.64
4.050,2.01,-0.11,1.07
4.100,2.01,-0.04,1.09
4.150,2.02,0.01,0.80
4.200,2.01,0.03,0.83
4.250,2.02,0.07,1.10
4.300,2.02,0.16,1.18
4.350,2.03,0.21,0.80
4.400,2.05,0.24,0.26
4.450,2.05,0.23,-0.08
4.500,2.07,0.22,-0.30
4.550,2.08,0.20,-0.40
4.600,2.09,0.17,-0.38
4.650,2.10,0.16,-0.39
4.700,2.10,0.15,-0.53
4.750,2.11,0.11,-0.86
4.800,2.12,0.06,-1.14
4.850,2.12,-0.01,-1.22
4.900,2.12,-0.07,-1.09
4.950,2.11,-0.12,-0.79
5.000,2.10,-0.15,-0.51
5.050,2.10,-0.16,-0.34
5.100,2.09,-0.18,-0.29
5.150,2.08,-0.20,-0.31
5.200,2.06,-0.21,-0.28
5.250,2.06,-0.23,-0.09
5.300,2.04,-0.23,0.33
5.350,2.03,-0.20,0.83
5.400,2.02,-0.14,1.15
5.450,2.02,-0.07,1.21
5.500,2.01,-0.01,1.05
5.550,2.02,0.03,0.82
5.600,2.02,0.07,0.64
5.650,2.02,0.09,0.60
5.700,2.03,0.12,0.70
5.750,2.03,0.16,0.72
5.800,2.04,0.21,0.43
5.850,2.06,0.22,-0.08
5.900,2.07,0.19,-0.39
5.950,2.08,0.15,-0.22
6.000,2.08,0.16,0.12
6.050,2.09,0.19,0.07
6.100,2.10,0.19,-0.51
6.150,2.11,0.14,-1.19
6.200,2.12,0.05,-1.46
6.250,2.12,-0.03,-1.30
6.300,2.11,-0.08,-0.97
6.350,2.11,-0.12,-0.72
6.400,2.10,-0.15,-0.58
6.450,2.09,-0.18,-0.47
6.500,2.08,-0.20,-0.37
6.550,2.07,-0.21,-0.24
6.600,2.06,-0.22,-0.13
6.650,2.05,-0.22,0.07
6.700,2.04,-0.23,0.36
6.750,2.03,-0.19,0.58
6.800,2.02,-0.15,0.71
6.850,2.02,-0.12,0.88
6.900,2.00,-0.08,1.28
6.950,2.00,0.00,1.55
7.000,2.01,0.11,1.43
7.050,2.02,0.16,1.00
7.100,2.02,0.20,0.54
7.150,2.04,0.21,0.15
7.200,2.05,0.21,-0.13
7.250,2.06,0.19,-0.19
7.300,2.07,0.19,-0.05
7.350,2.07,0.18,0.08
7.400,2.09,0.20,-0.03
7.450,2.09,0.20,-0.41
7.500,2.11,0.16,-0.96
7.550,2.11,0.10,-1.27
7.600,2.12,0.01,-1.23
7.650,2.11,-0.03,-0.96
7.700,2.11,-0.08,-0.92
7.750,2.11,-0.10,-1.13
7.800,2.10,-0.19,-1.05
7.850,2.09,-0.25,-0.44
7.900,2.07,-0.24,0.30
7.950,2.06,-0.19,0.46
8.000,2.06,-0.17,0.22
8.050,2.05,-0.18,0.10
8.100,2.03,-0.18,0.20
8.150,2.03,-0.15,0.32
8.200,2.02,-0.14,0.50
8.250,2.01,-0.12,0.94
8.300,2.01,-0.06,1.48
8.350,2.01,0.04,1.56
8.400,2.01,0.14,1.10
8.450,2.03,0.15,0.52
8.500,2.03,0.16,0.29
8.550,2.03,0.17,0.41
8.600,2.05,0.21,0.47
8.650,2.06,0.23,0.40
8.700,2.07,0.24,0.12
8.750,2.09,0.26,-0.45
8.800,2.09,0.22,-1.04
8.850,2.11,0.12,-1.27
8.900,2.11,0.06,-1.02
8.950,2.11,0.03,-0.72
9.000,2.11,0.00,-0.68
9.050,2.11,-0.03,-0.73
9.100,2.11,-0.08,-0.73
9.150,2.11,-0.11,-0.70
9.200,2.10,-0.14,-0.64
9.250,2.09,-0.18,-0.52
9.300,2.08,-0.20,-0.31
9.350,2.07,-0.20,-0.20
9.400,2.06,-0.21,-0.29
9.450,2.05,-0.23,-0.34
9.500,2.04,-0.26,-0.01
9.550,2.02,-0.26,0.78
9.600,2.01,-0.18,1.64
9.650,2.00,-0.07,1.98
9.700,2.01,0.04,1.61
9.750,2.00,0.11,1.01
9.800,2.02,0.13,0.63
9.850,2.02,0.15,0.62
9.900,2.03,0.19,0.64
9.950,2.04,0.23,0.42
10.000,2.05,0.24,0.12
10.050,2.06,0.23,-0.12
10.100,2.07,0.23,-0.31
10.150,2.09,0.21,-0.64
10.200,2.10,0.16,
10.250,2.10,0.10,
10.300,2.11,,
