Time,Position,Velocity,Acceleration
0.000,2.02,,
0.050,2.02,0.07,
0.100,2.02,0.10,0.43
0.150,2.03,0.11,0.56
0.200,2.04,0.15,0.66
0.250,2.04,0.19,0.60
0.300,2.06,0.22,0.22
0.350,2.07,0.22,-0.16
0.400,2.08,0.19,-0.33
0.450,2.09,0.18,-0.38
0.500,2.09,0.16,-0.49
0.550,2.10,0.13,-0.66
0.600,2.11,0.09,-0.67
0.650,2.11,0.05,-0.55
0.700,2.11,0.04,-0.48
0.750,2.11,0.02,-0.60
0.800,2.12,-0.02,-0.81
0.850,2.11,-0.07,-0.85
0.900,2.11,-0.12,-0.66
0.950,2.10,-0.14,-0.43
1.000,2.09,-0.15,-0.37
1.050,2.09,-0.17,-0.40
1.100,2.08,-0.20,-0.35
1.150,2.07,-0.21,-0.11
1.200,2.05,-0.21,0.26
1.250,2.04,-0.19,0.59
1.300,2.04,-0.14,0.73
1.350,2.03,-0.10,0.68
1.400,2.03,-0.07,0.53
1.450,2.02,-0.05,0.43
1.500,2.02,-0.04,0.50
1.550,2.02,-0.01,0.70
1.600,2.02,0.04,0.83
1.650,2.02,0.09,0.78
1.700,2.03,0.12,0.65
1.750,2.03,0.14,0.60
1.800,2.04,0.17,0.65
1.850,2.05,0.21,0.61
1.900,2.06,0.25,0.29
1.950,2.08,0.25,-0.35
2.000,2.09,0.21,-0.96
2.050,2.10,0.14,-1.12
2.100,2.10,0.08,-0.78
2.150,2.11,0.06,-0.31
2.200,2.11,0.06,-0.09
2.250,2.11,0.06,-0.20
2.300,2.12,0.05,-0.50
2.350,2.12,0.01,-0.79
2.400,2.12,-0.04,-0.94
2.450,2.11,-0.09,-0.88
2.500,2.11,-0.14,-0.73
2.550,2.10,-0.16,-0.65
2.600,2.09,-0.19,-0.64
2.650,2.08,-0.23,-0.60
2.700,2.07,-0.26,-0.24
2.750,2.05,-0.27,0.22
2.800,2.04,-0.22,0.42
2.850,2.03,-0.20,0.38
2.900,2.03,-0.20,0.39
2.950,2.01,-0.18,0.66
3.000,2.00,-0.13,0.92
3.050,2.00,-0.08,1.06
3.100,1.99,-0.03,1.08
3.150,1.99,0.04,0.90
3.200,2.00,0.08,0.76
3.250,2.01,0.09,0.87
3.300,2.00,0.15,1.00
3.350,2.02,0.23,0.65
3.400,2.03,0.24,0.12
3.450,2.04,0.19,0.04
3.500,2.05,0.22,0.37
3.550,2.06,0.26,0.30
3.600,2.08,0.28,-0.45
3.650,2.09,0.22,-1.16
3.700,2.11,0.13,-1.37
3.750,2.10,0.07,-0.97
3.800,2.11,0.02,-0.47
3.850,2.11,0.03,-0.32
3.900,2.10,0.02,-0.63
3.950,2.11,-0.03,-1.03
4.000,2.11,-0.11,-0.85
4.050,2.09,-0.15,-0.43
4.100,2.09,-0.12,-0.40
4.150,2.09,-0.15,-0.62
4.200,2.08,-0.22,-0.47
4.250,2.06,-0.23,0.15
4.300,2.05,-0.18,0.51
4.350,2.05,-0.15,0.41
4.400,2.04,-0.15,0.26
4.450,2.03,-0.14,0.37
4.500,2.02,-0.11,0.57
4.550,2.02,-0.07,0.52
4.600,2.02,-0.05,0.39
4.650,2.02,-0.05,0.56
4.700,2.01,-0.02,1.04
4.750,2.01,0.07,1.18
4.800,2.02,0.15,0.70
4.850,2.03,0.14,0.20
4.900,2.03,0.12,0.19
4.950,2.04,0.15,0.47
5.000,2.05,0.19,0.43
5.050,2.06,0.21,0.11
5.100,2.07,0.19,-0.12
5.150,2.08,0.18,-0.21
5.200,2.09,0.18,-0.32
5.250,2.10,0.16,-0.62
5.300,2.11,0.12,-0.85
5.350,2.11,0.06,-0.80
5.400,2.11,0.02,-0.60
5.450,2.11,0.01,-0.63
5.500,2.11,-0.02,-0.95
5.550,2.11,-0.09,-1.10
5.600,2.10,-0.16,-0.71
5.650,2.09,-0.18,-0.04
5.700,2.09,-0.14,0.28
5.750,2.08,-0.11,-0.05
5.800,2.08,-0.13,-0.58
5.850,2.07,-0.20,-0.52
5.900,2.06,-0.23,0.16
5.950,2.04,-0.17,0.75
6.000,2.04,-0.11,0.59
6.050,2.03,-0.09,0.03
6.100,2.02,-0.14,-0.04
6.150,2.02,-0.14,0.54
6.200,2.01,-0.07,1.16
6.250,2.01,0.01,1.15
6.300,2.02,0.06,0.81
6.350,2.02,0.07,0.80
6.400,2.02,0.11,0.90
6.450,2.03,0.20,0.55
6.500,2.04,0.20,-0.13
6.550,2.06,0.14,-0.44
6.600,2.05,0.12,-0.12
6.650,2.06,0.14,0.07
6.700,2.07,0.16,-0.13
6.750,2.08,0.12,-0.30
6.800,2.08,0.10,-0.13
6.850,2.09,0.11,0.14
6.900,2.09,0.14,-0.03
6.950,2.10,0.13,-0.62
7.000,2.11,0.07,-1.13
7.050,2.11,-0.01,-1.11
7.100,2.10,-0.06,-0.75
7.150,2.10,-0.07,-0.53
7.200,2.10,-0.09,-0.57
7.250,2.09,-0.13,-0.60
7.300,2.08,-0.16,-0.43
7.350,2.08,-0.18,-0.25
7.400,2.07,-0.18,-0.13
7.450,2.06,-0.19,0.01
7.500,2.05,-0.19,0.15
7.550,2.04,-0.17,0.23
7.600,2.03,-0.16,0.38
7.650,2.02,-0.15,0.78
7.700,2.01,-0.09,1.18
7.750,2.01,0.00,1.21
7.800,2.02,0.05,0.88
7.850,2.02,0.08,0.59
7.900,2.02,0.10,0.46
7.950,2.03,0.12,0.43
8.000,2.03,0.14,0.38
8.050,2.04,0.16,0.18
8.100,2.05,0.17,-0.02
8.150,2.06,0.15,0.02
8.200,2.07,0.15,0.31
8.250,2.07,0.19,0.40
8.300,2.09,0.22,-0.01
8.350,2.10,0.20,-0.62
8.400,2.11,0.14,-1.04
8.450,2.11,0.08,-1.13
8.500,2.12,0.02,-0.94
8.550,2.11,-0.02,-0.65
8.600,2.11,-0.03,-0.52
8.650,2.11,-0.06,-0.64
8.700,2.11,-0.10,-0.74
8.750,2.10,-0.15,-0.55
8.800,2.09,-0.16,-0.26
8.850,2.08,-0.16,-0.07
8.900,2.08,-0.17,-0.11
8.950,2.07,-0.16,-0.17
9.000,2.06,-0.19,-0.01
9.050,2.05,-0.19,0.33
9.100,2.03,-0.15,0.69
9.150,2.04,-0.11,0.68
9.200,2.03,-0.06,0.47
9.250,2.02,-0.07,0.30
9.300,2.02,-0.05,0.30
9.350,2.02,-0.03,0.52
9.400,2.02,-0.01,0.74
9.450,2.02,0.05,0.86
9.500,2.02,0.09,0.74
9.550,2.03,0.12,0.60
9.600,2.03,0.14,0.58
9.650,2.04,0.18,0.44
9.700,2.05,0.21,0.12
9.750,2.07,0.19,-0.12
9.800,2.07,0.17,-0.11
9.850,2.08,0.18,-0.19
9.900,2.09,0.18,-0.56
9.950,2.10,0.12,-0.84
10.000,2.11,0.06,-0.79
10.050,2.10,0.04,-0.51
10.100,2.11,0.02,-0.33
10.150,2.11,0.01,
10.200,2.11,0.00,
10.250,2.11,,
